group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(10),map,1,1,elements,739967.0,ns,5784
fibonacci(10),map,1,1,elements,1763143.0,ns,11568
fibonacci(10),map,1,1,elements,2185787.0,ns,17352
fibonacci(10),map,1,1,elements,2932817.0,ns,23136
fibonacci(10),map,1,1,elements,3660544.0,ns,28920
fibonacci(10),map,1,1,elements,4395270.0,ns,34704
fibonacci(10),map,1,1,elements,5127750.0,ns,40488
fibonacci(10),map,1,1,elements,5796753.0,ns,46272
fibonacci(10),map,1,1,elements,6536287.0,ns,52056
fibonacci(10),map,1,1,elements,7163914.0,ns,57840
fibonacci(10),map,1,1,elements,8011220.0,ns,63624
fibonacci(10),map,1,1,elements,8660732.0,ns,69408
fibonacci(10),map,1,1,elements,9363475.0,ns,75192
fibonacci(10),map,1,1,elements,10064845.0,ns,80976
fibonacci(10),map,1,1,elements,11135310.0,ns,86760
fibonacci(10),map,1,1,elements,11678180.0,ns,92544
fibonacci(10),map,1,1,elements,12115706.0,ns,98328
fibonacci(10),map,1,1,elements,12672336.0,ns,104112
fibonacci(10),map,1,1,elements,13819153.0,ns,109896
fibonacci(10),map,1,1,elements,14187716.0,ns,115680
fibonacci(10),map,1,1,elements,14993188.0,ns,121464
fibonacci(10),map,1,1,elements,16450143.0,ns,127248
fibonacci(10),map,1,1,elements,16629547.0,ns,133032
fibonacci(10),map,1,1,elements,17425406.0,ns,138816
fibonacci(10),map,1,1,elements,17950108.0,ns,144600
fibonacci(10),map,1,1,elements,18495543.0,ns,150384
fibonacci(10),map,1,1,elements,19812705.0,ns,156168
fibonacci(10),map,1,1,elements,19809043.0,ns,161952
fibonacci(10),map,1,1,elements,21198253.0,ns,167736
fibonacci(10),map,1,1,elements,21455538.0,ns,173520
fibonacci(10),map,1,1,elements,22782296.0,ns,179304
fibonacci(10),map,1,1,elements,23287757.0,ns,185088
fibonacci(10),map,1,1,elements,24067553.0,ns,190872
fibonacci(10),map,1,1,elements,24807990.0,ns,196656
fibonacci(10),map,1,1,elements,25923457.0,ns,202440
fibonacci(10),map,1,1,elements,26582426.0,ns,208224
fibonacci(10),map,1,1,elements,27088587.0,ns,214008
fibonacci(10),map,1,1,elements,28152692.0,ns,219792
fibonacci(10),map,1,1,elements,28162246.0,ns,225576
fibonacci(10),map,1,1,elements,29005955.0,ns,231360
fibonacci(10),map,1,1,elements,30042549.0,ns,237144
fibonacci(10),map,1,1,elements,30977692.0,ns,242928
fibonacci(10),map,1,1,elements,31660768.0,ns,248712
fibonacci(10),map,1,1,elements,32293215.0,ns,254496
fibonacci(10),map,1,1,elements,32741072.0,ns,260280
fibonacci(10),map,1,1,elements,33674105.0,ns,266064
fibonacci(10),map,1,1,elements,34449558.0,ns,271848
fibonacci(10),map,1,1,elements,35287574.0,ns,277632
