group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(10),map,100,100,elements,1006192.0,ns,79
fibonacci(10),map,100,100,elements,1960336.0,ns,158
fibonacci(10),map,100,100,elements,2951596.0,ns,237
fibonacci(10),map,100,100,elements,4215788.0,ns,316
fibonacci(10),map,100,100,elements,5134777.0,ns,395
fibonacci(10),map,100,100,elements,6138476.0,ns,474
fibonacci(10),map,100,100,elements,7326248.0,ns,553
fibonacci(10),map,100,100,elements,8085952.0,ns,632
fibonacci(10),map,100,100,elements,9062887.0,ns,711
fibonacci(10),map,100,100,elements,10366075.0,ns,790
fibonacci(10),map,100,100,elements,11081651.0,ns,869
fibonacci(10),map,100,100,elements,12477434.0,ns,948
fibonacci(10),map,100,100,elements,13237556.0,ns,1027
fibonacci(10),map,100,100,elements,14252475.0,ns,1106
fibonacci(10),map,100,100,elements,15473610.0,ns,1185
fibonacci(10),map,100,100,elements,15690695.0,ns,1264
fibonacci(10),map,100,100,elements,16770163.0,ns,1343
fibonacci(10),map,100,100,elements,17629696.0,ns,1422
fibonacci(10),map,100,100,elements,18624137.0,ns,1501
fibonacci(10),map,100,100,elements,19917260.0,ns,1580
fibonacci(10),map,100,100,elements,20687870.0,ns,1659
fibonacci(10),map,100,100,elements,21119770.0,ns,1738
fibonacci(10),map,100,100,elements,22927802.0,ns,1817
fibonacci(10),map,100,100,elements,23894906.0,ns,1896
fibonacci(10),map,100,100,elements,24967827.0,ns,1975
fibonacci(10),map,100,100,elements,26329678.0,ns,2054
fibonacci(10),map,100,100,elements,27367248.0,ns,2133
fibonacci(10),map,100,100,elements,27772856.0,ns,2212
fibonacci(10),map,100,100,elements,28621826.0,ns,2291
fibonacci(10),map,100,100,elements,28862161.0,ns,2370
fibonacci(10),map,100,100,elements,30502284.0,ns,2449
fibonacci(10),map,100,100,elements,31505146.0,ns,2528
fibonacci(10),map,100,100,elements,33371025.0,ns,2607
fibonacci(10),map,100,100,elements,35112224.0,ns,2686
fibonacci(10),map,100,100,elements,35927601.0,ns,2765
fibonacci(10),map,100,100,elements,37197104.0,ns,2844
fibonacci(10),map,100,100,elements,36778413.0,ns,2923
fibonacci(10),map,100,100,elements,37706379.0,ns,3002
fibonacci(10),map,100,100,elements,38517398.0,ns,3081
fibonacci(10),map,100,100,elements,39550617.0,ns,3160
fibonacci(10),map,100,100,elements,40538447.0,ns,3239
fibonacci(10),map,100,100,elements,41328278.0,ns,3318
fibonacci(10),map,100,100,elements,42290707.0,ns,3397
fibonacci(10),map,100,100,elements,43289484.0,ns,3476
fibonacci(10),map,100,100,elements,44898000.0,ns,3555
fibonacci(10),map,100,100,elements,45585069.0,ns,3634
fibonacci(10),map,100,100,elements,46687444.0,ns,3713
fibonacci(10),map,100,100,elements,46321811.0,ns,3792
