group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(10),parallel_map-t2,100,100,elements,973250.0,ns,30
fibonacci(10),parallel_map-t2,100,100,elements,1967985.0,ns,60
fibonacci(10),parallel_map-t2,100,100,elements,2810965.0,ns,90
fibonacci(10),parallel_map-t2,100,100,elements,3866032.0,ns,120
fibonacci(10),parallel_map-t2,100,100,elements,4861410.0,ns,150
fibonacci(10),parallel_map-t2,100,100,elements,5637783.0,ns,180
fibonacci(10),parallel_map-t2,100,100,elements,6493743.0,ns,210
fibonacci(10),parallel_map-t2,100,100,elements,7824164.0,ns,240
fibonacci(10),parallel_map-t2,100,100,elements,8933848.0,ns,270
fibonacci(10),parallel_map-t2,100,100,elements,9704612.0,ns,300
fibonacci(10),parallel_map-t2,100,100,elements,11181667.0,ns,330
fibonacci(10),parallel_map-t2,100,100,elements,11740548.0,ns,360
fibonacci(10),parallel_map-t2,100,100,elements,12885594.0,ns,390
fibonacci(10),parallel_map-t2,100,100,elements,13361688.0,ns,420
fibonacci(10),parallel_map-t2,100,100,elements,14820300.0,ns,450
fibonacci(10),parallel_map-t2,100,100,elements,15356886.0,ns,480
fibonacci(10),parallel_map-t2,100,100,elements,16251525.0,ns,510
fibonacci(10),parallel_map-t2,100,100,elements,18586811.0,ns,540
fibonacci(10),parallel_map-t2,100,100,elements,17832941.0,ns,570
fibonacci(10),parallel_map-t2,100,100,elements,19931309.0,ns,600
fibonacci(10),parallel_map-t2,100,100,elements,20006873.0,ns,630
fibonacci(10),parallel_map-t2,100,100,elements,21740405.0,ns,660
fibonacci(10),parallel_map-t2,100,100,elements,21826151.0,ns,690
fibonacci(10),parallel_map-t2,100,100,elements,24749683.0,ns,720
fibonacci(10),parallel_map-t2,100,100,elements,24251410.0,ns,750
fibonacci(10),parallel_map-t2,100,100,elements,25001714.0,ns,780
fibonacci(10),parallel_map-t2,100,100,elements,26822926.0,ns,810
fibonacci(10),parallel_map-t2,100,100,elements,28940306.0,ns,840
fibonacci(10),parallel_map-t2,100,100,elements,27842158.0,ns,870
fibonacci(10),parallel_map-t2,100,100,elements,29375856.0,ns,900
fibonacci(10),parallel_map-t2,100,100,elements,30203589.0,ns,930
fibonacci(10),parallel_map-t2,100,100,elements,32445417.0,ns,960
fibonacci(10),parallel_map-t2,100,100,elements,32100696.0,ns,990
fibonacci(10),parallel_map-t2,100,100,elements,33061754.0,ns,1020
fibonacci(10),parallel_map-t2,100,100,elements,35075374.0,ns,1050
fibonacci(10),parallel_map-t2,100,100,elements,34610929.0,ns,1080
fibonacci(10),parallel_map-t2,100,100,elements,36004625.0,ns,1110
fibonacci(10),parallel_map-t2,100,100,elements,41509661.0,ns,1140
fibonacci(10),parallel_map-t2,100,100,elements,43678331.0,ns,1170
fibonacci(10),parallel_map-t2,100,100,elements,41396588.0,ns,1200
fibonacci(10),parallel_map-t2,100,100,elements,42222609.0,ns,1230
fibonacci(10),parallel_map-t2,100,100,elements,41506124.0,ns,1260
fibonacci(10),parallel_map-t2,100,100,elements,43238264.0,ns,1290
fibonacci(10),parallel_map-t2,100,100,elements,42858947.0,ns,1320
fibonacci(10),parallel_map-t2,100,100,elements,43806182.0,ns,1350
fibonacci(10),parallel_map-t2,100,100,elements,48442324.0,ns,1380
fibonacci(10),parallel_map-t2,100,100,elements,49856055.0,ns,1410
fibonacci(10),parallel_map-t2,100,100,elements,51168702.0,ns,1440
fibonacci(10),parallel_map-t2,100,100,elements,47909276.0,ns,1470
fibonacci(10),parallel_map-t2,100,100,elements,49796368.0,ns,1500
fibonacci(10),parallel_map-t2,100,100,elements,50151016.0,ns,1530
fibonacci(10),parallel_map-t2,100,100,elements,51651474.0,ns,1560
fibonacci(10),parallel_map-t2,100,100,elements,55556734.0,ns,1590
fibonacci(10),parallel_map-t2,100,100,elements,57333679.0,ns,1620
fibonacci(10),parallel_map-t2,100,100,elements,55944625.0,ns,1650
fibonacci(10),parallel_map-t2,100,100,elements,54959767.0,ns,1680
fibonacci(10),parallel_map-t2,100,100,elements,55523577.0,ns,1710
fibonacci(10),parallel_map-t2,100,100,elements,56766056.0,ns,1740
fibonacci(10),parallel_map-t2,100,100,elements,57028989.0,ns,1770
fibonacci(10),parallel_map-t2,100,100,elements,59235959.0,ns,1800
fibonacci(10),parallel_map-t2,100,100,elements,60593925.0,ns,1830
fibonacci(10),parallel_map-t2,100,100,elements,64926731.0,ns,1860
fibonacci(10),parallel_map-t2,100,100,elements,66678043.0,ns,1890
fibonacci(10),parallel_map-t2,100,100,elements,67203747.0,ns,1920
fibonacci(10),parallel_map-t2,100,100,elements,65701249.0,ns,1950
fibonacci(10),parallel_map-t2,100,100,elements,65197964.0,ns,1980
fibonacci(10),parallel_map-t2,100,100,elements,65823568.0,ns,2010
fibonacci(10),parallel_map-t2,100,100,elements,67495062.0,ns,2040
fibonacci(10),parallel_map-t2,100,100,elements,66567689.0,ns,2070
fibonacci(10),parallel_map-t2,100,100,elements,68944734.0,ns,2100
fibonacci(10),parallel_map-t2,100,100,elements,69360536.0,ns,2130
fibonacci(10),parallel_map-t2,100,100,elements,71065191.0,ns,2160
fibonacci(10),parallel_map-t2,100,100,elements,70628363.0,ns,2190
fibonacci(10),parallel_map-t2,100,100,elements,70916545.0,ns,2220
fibonacci(10),parallel_map-t2,100,100,elements,73089812.0,ns,2250
fibonacci(10),parallel_map-t2,100,100,elements,74510632.0,ns,2280
fibonacci(10),parallel_map-t2,100,100,elements,74689832.0,ns,2310
fibonacci(10),parallel_map-t2,100,100,elements,75420612.0,ns,2340
fibonacci(10),parallel_map-t2,100,100,elements,76787362.0,ns,2370
fibonacci(10),parallel_map-t2,100,100,elements,78732358.0,ns,2400
fibonacci(10),parallel_map-t2,100,100,elements,80929923.0,ns,2430
fibonacci(10),parallel_map-t2,100,100,elements,82500168.0,ns,2460
fibonacci(10),parallel_map-t2,100,100,elements,82755596.0,ns,2490
fibonacci(10),parallel_map-t2,100,100,elements,81927719.0,ns,2520
fibonacci(10),parallel_map-t2,100,100,elements,83519021.0,ns,2550
fibonacci(10),parallel_map-t2,100,100,elements,83612947.0,ns,2580
fibonacci(10),parallel_map-t2,100,100,elements,86832211.0,ns,2610
fibonacci(10),parallel_map-t2,100,100,elements,88840323.0,ns,2640
fibonacci(10),parallel_map-t2,100,100,elements,88609562.0,ns,2670
fibonacci(10),parallel_map-t2,100,100,elements,92171046.0,ns,2700
fibonacci(10),parallel_map-t2,100,100,elements,94319101.0,ns,2730
fibonacci(10),parallel_map-t2,100,100,elements,89695080.0,ns,2760
fibonacci(10),parallel_map-t2,100,100,elements,90741031.0,ns,2790
fibonacci(10),parallel_map-t2,100,100,elements,91286996.0,ns,2820
fibonacci(10),parallel_map-t2,100,100,elements,92496417.0,ns,2850
fibonacci(10),parallel_map-t2,100,100,elements,97152815.0,ns,2880
fibonacci(10),parallel_map-t2,100,100,elements,97650335.0,ns,2910
fibonacci(10),parallel_map-t2,100,100,elements,96746090.0,ns,2940
fibonacci(10),parallel_map-t2,100,100,elements,97274759.0,ns,2970
fibonacci(10),parallel_map-t2,100,100,elements,98030392.0,ns,3000
