group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci(10),parallel_map-t4,10000,10000,elements,1592231.0,ns,1
fibonacci(10),parallel_map-t4,10000,10000,elements,3291032.0,ns,2
fibonacci(10),parallel_map-t4,10000,10000,elements,4885097.0,ns,3
fibonacci(10),parallel_map-t4,10000,10000,elements,6361246.0,ns,4
fibonacci(10),parallel_map-t4,10000,10000,elements,7782732.0,ns,5
fibonacci(10),parallel_map-t4,10000,10000,elements,9871556.0,ns,6
fibonacci(10),parallel_map-t4,10000,10000,elements,11277314.0,ns,7
fibonacci(10),parallel_map-t4,10000,10000,elements,12935853.0,ns,8
fibonacci(10),parallel_map-t4,10000,10000,elements,15224300.0,ns,9
fibonacci(10),parallel_map-t4,10000,10000,elements,16583891.0,ns,10
fibonacci(10),parallel_map-t4,10000,10000,elements,17653296.0,ns,11
fibonacci(10),parallel_map-t4,10000,10000,elements,18659822.0,ns,12
fibonacci(10),parallel_map-t4,10000,10000,elements,19960507.0,ns,13
fibonacci(10),parallel_map-t4,10000,10000,elements,20828289.0,ns,14
fibonacci(10),parallel_map-t4,10000,10000,elements,21263650.0,ns,15
fibonacci(10),parallel_map-t4,10000,10000,elements,23605014.0,ns,16
fibonacci(10),parallel_map-t4,10000,10000,elements,25323866.0,ns,17
fibonacci(10),parallel_map-t4,10000,10000,elements,26473352.0,ns,18
fibonacci(10),parallel_map-t4,10000,10000,elements,29467808.0,ns,19
fibonacci(10),parallel_map-t4,10000,10000,elements,30620092.0,ns,20
fibonacci(10),parallel_map-t4,10000,10000,elements,31192274.0,ns,21
fibonacci(10),parallel_map-t4,10000,10000,elements,31786697.0,ns,22
fibonacci(10),parallel_map-t4,10000,10000,elements,34587224.0,ns,23
fibonacci(10),parallel_map-t4,10000,10000,elements,35676751.0,ns,24
fibonacci(10),parallel_map-t4,10000,10000,elements,38520033.0,ns,25
fibonacci(10),parallel_map-t4,10000,10000,elements,39740385.0,ns,26
fibonacci(10),parallel_map-t4,10000,10000,elements,41421084.0,ns,27
fibonacci(10),parallel_map-t4,10000,10000,elements,42723638.0,ns,28
fibonacci(10),parallel_map-t4,10000,10000,elements,42489369.0,ns,29
fibonacci(10),parallel_map-t4,10000,10000,elements,45457743.0,ns,30
fibonacci(10),parallel_map-t4,10000,10000,elements,46879376.0,ns,31
fibonacci(10),parallel_map-t4,10000,10000,elements,47487832.0,ns,32
fibonacci(10),parallel_map-t4,10000,10000,elements,49707028.0,ns,33
fibonacci(10),parallel_map-t4,10000,10000,elements,50812242.0,ns,34
fibonacci(10),parallel_map-t4,10000,10000,elements,53865460.0,ns,35
fibonacci(10),parallel_map-t4,10000,10000,elements,53643824.0,ns,36
fibonacci(10),parallel_map-t4,10000,10000,elements,56525802.0,ns,37
fibonacci(10),parallel_map-t4,10000,10000,elements,56252901.0,ns,38
fibonacci(10),parallel_map-t4,10000,10000,elements,57061610.0,ns,39
fibonacci(10),parallel_map-t4,10000,10000,elements,59162447.0,ns,40
fibonacci(10),parallel_map-t4,10000,10000,elements,60065951.0,ns,41
fibonacci(10),parallel_map-t4,10000,10000,elements,62722186.0,ns,42
fibonacci(10),parallel_map-t4,10000,10000,elements,63114475.0,ns,43
fibonacci(10),parallel_map-t4,10000,10000,elements,65636314.0,ns,44
fibonacci(10),parallel_map-t4,10000,10000,elements,67039691.0,ns,45
fibonacci(10),parallel_map-t4,10000,10000,elements,68843310.0,ns,46
fibonacci(10),parallel_map-t4,10000,10000,elements,70538659.0,ns,47
fibonacci(10),parallel_map-t4,10000,10000,elements,72826684.0,ns,48
fibonacci(10),parallel_map-t4,10000,10000,elements,72606997.0,ns,49
fibonacci(10),parallel_map-t4,10000,10000,elements,75300079.0,ns,50
